timestamp,utc_time,strategy,series,regime,clock_session,macro_blackout,pnl_ungated,pnl_gated,s8_allowed,s8_action,paired,adverse,note
1789983900,2026-09-21 09:45:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,-20.9845,-20.9845,True,TRADE_NORMAL,0,1,single-leg: Up naked 48sh -> 0.06 ($-20.98)
1789984200,2026-09-21 09:50:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789984500,2026-09-21 09:55:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-2.1207,-2.1207,True,TRADE_NORMAL,0,0,single-leg: Up naked 50sh -> 0.46 ($-2.12)
1789984800,2026-09-21 10:00:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789984800,2026-09-21 10:00:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.2292,0.2292,True,TRADE_NORMAL,1,0,pair 11sh +$0.23 | Up naked 39sh -> 0.49 ($+0.00)
1789985100,2026-09-21 10:05:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0002,0.0002,True,TRADE_NORMAL,1,0,pair 0sh +$0.00 | Down naked 50sh -> 0.49 ($+0.00)
1789985400,2026-09-21 10:10:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Down naked 50sh -> 0.49 ($+0.00)
1789985700,2026-09-21 10:15:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789985700,2026-09-21 10:15:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789986000,2026-09-21 10:20:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789986300,2026-09-21 10:25:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Up naked 50sh -> 0.49 ($+0.00)
1789986600,2026-09-21 10:30:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789986600,2026-09-21 10:30:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.2,0.2,True,TRADE_NORMAL,1,0,pair 10sh +$0.20 | Down naked 33sh -> 0.49 ($+0.00)
1789986900,2026-09-21 10:35:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789987200,2026-09-21 10:40:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789987500,2026-09-21 10:45:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-13.8603,-13.8603,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.22 ($-13.86)
1789987500,2026-09-21 10:45:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,-1.0963,-1.0963,True,TRADE_NORMAL,0,1,single-leg: Up naked 5sh -> 0.28 ($-1.10)
1789987800,2026-09-21 10:50:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789988100,2026-09-21 10:55:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789988400,2026-09-21 11:00:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-14.3407,-14.3407,True,TRADE_NORMAL,0,1,single-leg: Down naked 50sh -> 0.21 ($-14.34)
1789988400,2026-09-21 11:00:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Down naked 50sh -> 0.49 ($+0.00)
1789988700,2026-09-21 11:05:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789989000,2026-09-21 11:10:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-14.8204,-14.8204,True,TRADE_NORMAL,0,1,single-leg: Down naked 50sh -> 0.20 ($-14.82)
1789989300,2026-09-21 11:15:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789989300,2026-09-21 11:15:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,-5.2861,-5.2861,True,TRADE_NORMAL,1,1,pair 2sh +$0.05 | Down naked 48sh -> 0.40 ($-5.33)
1789989600,2026-09-21 11:20:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00 | Up naked 0sh -> 0.49 ($+0.00)
1789989900,2026-09-21 11:25:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789990200,2026-09-21 11:30:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789990200,2026-09-21 11:30:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,-2.9754,-2.9754,True,TRADE_NORMAL,0,1,single-leg: Down naked 14sh -> 0.28 ($-2.98)
1789990500,2026-09-21 11:35:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-16.7322,-16.7322,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.16 ($-16.73)
1789990800,2026-09-21 11:40:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789991100,2026-09-21 11:45:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789991100,2026-09-21 11:45:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789991400,2026-09-21 11:50:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789991700,2026-09-21 11:55:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789992000,2026-09-21 12:00:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789992000,2026-09-21 12:00:00Z,S3_FEE_FARM,15m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789992300,2026-09-21 12:05:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789992600,2026-09-21 12:10:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789992900,2026-09-21 12:15:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789992900,2026-09-21 12:15:00Z,S3_FEE_FARM,15m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Up naked 50sh -> 0.49 ($+0.00)
1789993200,2026-09-21 12:20:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789993500,2026-09-21 12:25:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,-16.2553,-16.2553,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.17 ($-16.26)
1789993800,2026-09-21 12:30:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789993800,2026-09-21 12:30:00Z,S3_FEE_FARM,15m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789994100,2026-09-21 12:35:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789994400,2026-09-21 12:40:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Down naked 20sh -> 0.49 ($+0.00)
1789994700,2026-09-21 12:45:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789994700,2026-09-21 12:45:00Z,S3_FEE_FARM,15m,OFF_HOURS,OFF_HOURS,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789995000,2026-09-21 12:50:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789995300,2026-09-21 12:55:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789995600,2026-09-21 13:00:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789995600,2026-09-21 13:00:00Z,S3_FEE_FARM,15m,OFF_HOURS,OFF_HOURS,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789995900,2026-09-21 13:05:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,-10.2907,-10.2907,True,TRADE_NORMAL,0,1,single-leg: Down naked 26sh -> 0.11 ($-10.29)
1789996200,2026-09-21 13:10:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,-18.1587,-18.1587,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.13 ($-18.16)
1789996500,2026-09-21 13:15:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789996500,2026-09-21 13:15:00Z,S3_FEE_FARM,15m,OFF_HOURS,OFF_HOURS,False,-4.3276,-4.3276,True,TRADE_NORMAL,1,1,pair 0sh +$0.00 | Up naked 39sh -> 0.40 ($-4.33)
1789996800,2026-09-21 13:20:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00 | Down naked 0sh -> 0.49 ($+0.00)
1789997100,2026-09-21 13:25:00Z,S3_FEE_FARM,5m,OFF_HOURS,OFF_HOURS,False,-12.8974,-12.8974,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.24 ($-12.90)
1789997400,2026-09-21 13:30:00Z,S3_FEE_FARM,5m,US,US,False,0.0,0.0,False,BLOCKED_PULL,0,0,
1789997400,2026-09-21 13:30:00Z,S3_FEE_FARM,15m,US,US,False,0.56,0.0,False,BLOCKED_PULL,1,0,pair 28sh +$0.56 | Up naked 22sh -> 0.49 ($+0.00)
1789997700,2026-09-21 13:35:00Z,S3_FEE_FARM,5m,US,US,False,0.0,0.0,False,BLOCKED_PULL,0,0,
1789998000,2026-09-21 13:40:00Z,S3_FEE_FARM,5m,US,US,False,0.0,0.0,False,BLOCKED_PULL,0,0,
1789998300,2026-09-21 13:45:00Z,S3_FEE_FARM,5m,US,US,False,-4.7837,0.0,False,BLOCKED_PULL,0,1,single-leg: Down naked 10sh -> 0.03 ($-4.78)
1789998300,2026-09-21 13:45:00Z,S3_FEE_FARM,15m,US,US,False,0.0,0.0,False,BLOCKED_PULL,0,0,
1789998600,2026-09-21 13:50:00Z,S3_FEE_FARM,5m,US,US,False,0.0,0.0,False,BLOCKED_PULL,0,0,
1789998900,2026-09-21 13:55:00Z,S3_FEE_FARM,5m,US,US,False,0.0,0.0,False,BLOCKED_PULL,0,0,
