label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
5m,1789985100,Up,0.01,50.0,180s,153s,0.01,0.0002,0.0,0.0002,1,resolution | Down:180s,0.49,0,0,0,pair 0sh +$0.00 | Down naked 50sh -> 0.49 ($+0.00)
5m,1789985400,Down,0.0,50.0,,47s,0.0,0.0,0.0,0.0,0,Down:68s,0.49,0,0,41,single-leg: Down naked 50sh -> 0.49 ($+0.00)
5m,1789985700,Up,50.0,50.0,120s,71s,50.0,1.0,0.0,1.0,1,resolution,,0,0,9,pair 50sh +$1.00
15m,1789985700,Down,50.0,50.0,239s,165s,50.0,1.0,0.0,1.0,1,resolution,,0,0,9,pair 50sh +$1.00
5m,1789986000,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,30,
5m,1789986300,Down,50.0,0.0,95s,,0.0,0.0,0.0,0.0,0,Up:117s,0.49,0,0,31,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1789986600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,44,
15m,1789986600,Down,10.0,42.91,93s,47s,10.0,0.2,0.0,0.2,1,resolution | Down:69s,0.49,0,0,21,pair 10sh +$0.20 | Down naked 33sh -> 0.49 ($+0.00)
5m,1789986900,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,15,
5m,1789987200,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,44,
5m,1789987500,Down,50.0,0.0,44s,,0.0,0.0,-13.8603,-13.8603,0,Up:180s*,0.22,1,0,19,single-leg: Up naked 50sh -> 0.22 ($-13.86)
15m,1789987500,Up,5.0,0.0,39s,,0.0,0.0,-1.0963,-1.0963,0,Up:540s*,0.28,1,0,15,single-leg: Up naked 5sh -> 0.28 ($-1.10)
5m,1789987800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,28,
5m,1789988100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,32,
5m,1789988400,Up,0.0,50.0,,86s,0.0,0.0,-14.3407,-14.3407,0,Down:180s*,0.21,1,0,18,single-leg: Down naked 50sh -> 0.21 ($-14.34)
15m,1789988400,Up,0.0,50.0,,53s,0.0,0.0,0.0,0.0,0,Down:75s,0.49,0,0,16,single-leg: Down naked 50sh -> 0.49 ($+0.00)
5m,1789988700,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,42,
5m,1789989000,Up,0.0,50.0,,44s,0.0,0.0,-14.8204,-14.8204,0,Down:180s*,0.20,1,0,26,single-leg: Down naked 50sh -> 0.20 ($-14.82)
5m,1789989300,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,58,
15m,1789989300,Up,2.28,50.0,374s,407s,2.28,0.0456,-5.3317,-5.2861,1,resolution | Down:540s*,0.40,1,0,21,pair 2sh +$0.05 | Down naked 48sh -> 0.40 ($-5.33)
5m,1789989600,Up,50.0,50.0,42s,38s,50.0,1.0,0.0,1.0,1,resolution | Up:62s,0.49,0,0,6,pair 50sh +$1.00 | Up naked 0sh -> 0.49 ($+0.00)
5m,1789989900,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,19,
5m,1789990200,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,42,
15m,1789990200,Up,0.0,13.57,,441s,0.0,0.0,-2.9754,-2.9754,0,Down:540s*,0.28,1,0,50,single-leg: Down naked 14sh -> 0.28 ($-2.98)
5m,1789990500,Up,50.0,0.0,86s,,0.0,0.0,-16.7322,-16.7322,0,Up:180s*,0.16,1,0,24,single-leg: Up naked 50sh -> 0.16 ($-16.73)
5m,1789990800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,27,
5m,1789991100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,39,
15m,1789991100,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,36,
5m,1789991400,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,23,
5m,1789991700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,16,
5m,1789992000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,47,
15m,1789992000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,25,
5m,1789992300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,12,
5m,1789992600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,57,
5m,1789992900,Up,50.0,50.0,122s,87s,50.0,1.0,0.0,1.0,1,resolution,,0,0,29,pair 50sh +$1.00
15m,1789992900,Up,50.0,0.0,110s,,0.0,0.0,0.0,0.0,0,Up:137s,0.49,0,0,31,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1789993200,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,42,
5m,1789993500,Down,50.0,0.0,47s,,0.0,0.0,-16.2553,-16.2553,0,Up:180s*,0.17,1,0,28,single-leg: Up naked 50sh -> 0.17 ($-16.26)
5m,1789993800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,32,
15m,1789993800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,14,
5m,1789994100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,32,
5m,1789994400,Down,0.0,20.04,,48s,0.0,0.0,0.0,0.0,0,Down:75s,0.49,0,0,37,single-leg: Down naked 20sh -> 0.49 ($+0.00)
5m,1789994700,Up,50.0,50.0,74s,86s,50.0,1.0,0.0,1.0,1,resolution,,0,0,14,pair 50sh +$1.00
15m,1789994700,Up,50.0,50.0,104s,498s,50.0,1.0,0.0,1.0,1,resolution,,0,0,36,pair 50sh +$1.00
5m,1789995000,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,31,
5m,1789995300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,20,
5m,1789995600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,58,
15m,1789995600,Down,50.0,50.0,372s,378s,50.0,1.0,0.0,1.0,1,resolution,,0,0,36,pair 50sh +$1.00
5m,1789995900,Up,0.0,26.28,,32s,0.0,0.0,-10.2907,-10.2907,0,Down:180s*,0.11,1,0,18,single-leg: Down naked 26sh -> 0.11 ($-10.29)
5m,1789996200,Down,50.0,0.0,32s,,0.0,0.0,-18.1587,-18.1587,0,Up:180s*,0.13,1,0,18,single-leg: Up naked 50sh -> 0.13 ($-18.16)
5m,1789996500,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,14,
